UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,COUNT,DEBTMEDIAN,DEBTPAYMENT10YR,DEBTMEAN,TITLEIVCOUNT,EARNINGSCOUNT,MD_EARN_WNE,IPEDSCOUNT1,IPEDSCOUNT2
100654,001002,Alabama A & M University,Public,1,1506,Industrial Production Technologies/Technicians.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL
100654,001002,Alabama A & M University,Public,1,1508,Mechanical Engineering Related Technologies/Technicians.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5,1
100654,001002,Alabama A & M University,Public,1,1510,Construction Engineering Technologies.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,40225,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,10,12
100654,001002,Alabama A & M University,Public,1,1901,"Family and Consumer Sciences/Human Sciences, General.",3,Bachelors Degree,18,PrivacySuppressed,PrivacySuppressed,38059,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,14,9
100654,001002,Alabama A & M University,Public,1,1901,"Family and Consumer Sciences/Human Sciences, General.",5,Master's Degree,19,PrivacySuppressed,PrivacySuppressed,53164,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15,8
100654,001002,Alabama A & M University,Public,1,2301,"English Language and Literature, General.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4,6
100654,001002,Alabama A & M University,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelors Degree,39,29956,311,30970,30,30,24000,28,28
100654,001002,Alabama A & M University,Public,1,2601,"Biology, General.",3,Bachelors Degree,59,34000,353,32783,31,30,23800,30,43
100654,001002,Alabama A & M University,Public,1,2601,"Biology, General.",5,Master's Degree,34,51912,605,52550,23,22,28400,19,23
100654,001002,Alabama A & M University,Public,1,2701,Mathematics.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,0
100654,001002,Alabama A & M University,Public,1,3105,Health and Physical Education/Fitness.,5,Master's Degree,10,PrivacySuppressed,PrivacySuppressed,31527,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,11
100654,001002,Alabama A & M University,Public,1,4005,Chemistry.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,28119,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4,10
100654,001002,Alabama A & M University,Public,1,4008,Physics.,3,Bachelors Degree,10,PrivacySuppressed,PrivacySuppressed,21255,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,6
100654,001002,Alabama A & M University,Public,1,4008,Physics.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,2
100654,001002,Alabama A & M University,Public,1,4008,Physics.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,3
100654,001002,Alabama A & M University,Public,1,4201,"Psychology, General.",3,Bachelors Degree,40,36250,376,36400,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20,26
100654,001002,Alabama A & M University,Public,1,4228,"Clinical, Counseling and Applied Psychology.",5,Master's Degree,86,61668,719,63537,58,57,33100,59,56
100654,001002,Alabama A & M University,Public,1,4301,Criminal Justice and Corrections.,3,Bachelors Degree,40,35375,367,33951,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22,25
100654,001002,Alabama A & M University,Public,1,4407,Social Work.,3,Bachelors Degree,45,36500,379,35718,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16,34
100654,001002,Alabama A & M University,Public,1,4407,Social Work.,5,Master's Degree,141,50835,592,51613,85,84,36400,69,92
100654,001002,Alabama A & M University,Public,1,4510,Political Science and Government.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,35696,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,5
100654,001002,Alabama A & M University,Public,1,4511,Sociology.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,43965,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,10,6
100654,001002,Alabama A & M University,Public,1,5007,Fine and Studio Arts.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,37291,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8,6
100654,001002,Alabama A & M University,Public,1,5009,Music.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4,6
100654,001002,Alabama A & M University,Public,1,5102,Communication Disorders Sciences and Services.,5,Master's Degree,34,49767,580,55815,37,37,54200,15,28
100654,001002,Alabama A & M University,Public,1,5202,"Business Administration, Management and Operations.",3,Bachelors Degree,68,34648,360,35321,56,55,36600,45,39
100654,001002,Alabama A & M University,Public,1,5202,"Business Administration, Management and Operations.",5,Master's Degree,48,55313,645,56947,37,36,41200,31,30
100654,001002,Alabama A & M University,Public,1,5203,Accounting and Related Services.,3,Bachelors Degree,PrivacySuppressed,31378,326,30039,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,12,17
100654,001002,Alabama A & M University,Public,1,5208,Finance and Financial Management Services.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,35528,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13,8
